시도,시,경도,지역시차_분,산출방식
서울특별시,서울특별시,126.991824,-32.033,광역자치단체 중심점
부산광역시,부산광역시,129.069114,-23.724,광역자치단체 중심점
대구광역시,대구광역시,128.565359,-25.739,광역자치단체 중심점
인천광역시,인천광역시,126.375515,-34.498,광역자치단체 중심점
광주광역시,광주광역시,126.835435,-32.658,광역자치단체 중심점
대전광역시,대전광역시,127.394039,-30.424,광역자치단체 중심점
울산광역시,울산광역시,129.237579,-23.05,광역자치단체 중심점
세종특별자치시,세종특별자치시,127.258722,-30.965,광역자치단체 중심점
경기도,수원시,127.014033,-31.944,하위 구 중심점 평균
경기도,성남시,127.124706,-31.501,하위 구 중심점 평균
경기도,의정부시,127.068423,-31.726,기초자치단체 중심점
경기도,안양시,126.933444,-32.266,하위 구 중심점 평균
경기도,부천시,126.788711,-32.845,기초자치단체 중심점
경기도,광명시,126.864701,-32.541,기초자치단체 중심점
경기도,평택시,126.987701,-32.049,기초자치단체 중심점
경기도,동두천시,127.077913,-31.688,기초자치단체 중심점
경기도,안산시,126.782428,-32.87,하위 구 중심점 평균
경기도,고양시,126.801391,-32.794,하위 구 중심점 평균
경기도,과천시,127.002679,-31.989,기초자치단체 중심점
경기도,구리시,127.13123,-31.475,기초자치단체 중심점
경기도,남양주시,127.243661,-31.025,기초자치단체 중심점
경기도,오산시,127.05133,-31.795,기초자치단체 중심점
경기도,시흥시,126.788393,-32.846,기초자치단체 중심점
경기도,군포시,126.921135,-32.315,기초자치단체 중심점
경기도,의왕시,126.989625,-32.041,기초자치단체 중심점
경기도,하남시,127.205944,-31.176,기초자치단체 중심점
경기도,용인시,127.148602,-31.406,하위 구 중심점 평균
경기도,파주시,126.81075,-32.757,기초자치단체 중심점
경기도,이천시,127.481014,-30.076,기초자치단체 중심점
경기도,안성시,127.302722,-30.789,기초자치단체 중심점
경기도,김포시,126.626431,-33.494,기초자치단체 중심점
경기도,화성시,126.874858,-32.501,기초자치단체 중심점
경기도,광주시,127.301176,-30.795,기초자치단체 중심점
경기도,양주시,127.001135,-31.995,기초자치단체 중심점
경기도,포천시,127.250337,-30.999,기초자치단체 중심점
경기도,여주시,127.615737,-29.537,기초자치단체 중심점
강원특별자치도,춘천시,127.739868,-29.041,기초자치단체 중심점
강원특별자치도,원주시,127.929525,-28.282,기초자치단체 중심점
강원특별자치도,강릉시,128.832379,-24.67,기초자치단체 중심점
강원특별자치도,동해시,129.055569,-23.778,기초자치단체 중심점
강원특별자치도,태백시,128.980073,-24.08,기초자치단체 중심점
강원특별자치도,속초시,128.519541,-25.922,기초자치단체 중심점
강원특별자치도,삼척시,129.12171,-23.513,기초자치단체 중심점
충청북도,청주시,127.470968,-30.116,하위 구 중심점 평균
충청북도,충주시,127.895662,-28.417,기초자치단체 중심점
충청북도,제천시,128.140959,-27.436,기초자치단체 중심점
충청남도,천안시,127.191352,-31.235,하위 구 중심점 평균
충청남도,공주시,127.075219,-31.699,기초자치단체 중심점
충청남도,보령시,126.594247,-33.623,기초자치단체 중심점
충청남도,아산시,126.980076,-32.08,기초자치단체 중심점
충청남도,서산시,126.463602,-34.146,기초자치단체 중심점
충청남도,논산시,127.157716,-31.369,기초자치단체 중심점
충청남도,계룡시,127.234427,-31.062,기초자치단체 중심점
충청남도,당진시,126.652744,-33.389,기초자치단체 중심점
전북특별자치도,전주시,127.11621,-31.535,하위 구 중심점 평균
전북특별자치도,군산시,126.726015,-33.096,기초자치단체 중심점
전북특별자치도,익산시,126.98951,-32.042,기초자치단체 중심점
전북특별자치도,정읍시,126.905858,-32.377,기초자치단체 중심점
전북특별자치도,남원시,127.44189,-30.232,기초자치단체 중심점
전북특별자치도,김제시,126.894886,-32.42,기초자치단체 중심점
전라남도,목포시,126.391835,-34.433,기초자치단체 중심점
전라남도,여수시,127.653203,-29.387,기초자치단체 중심점
전라남도,순천시,127.389163,-30.443,기초자치단체 중심점
전라남도,나주시,126.72041,-33.118,기초자치단체 중심점
전라남도,광양시,127.655073,-29.38,기초자치단체 중심점
경상북도,포항시,129.335832,-22.657,하위 구 중심점 평균
경상북도,경주시,129.23593,-23.056,기초자치단체 중심점
경상북도,김천시,128.077708,-27.689,기초자치단체 중심점
경상북도,안동시,128.780043,-24.88,기초자치단체 중심점
경상북도,구미시,128.355555,-26.578,기초자치단체 중심점
경상북도,영주시,128.597683,-25.609,기초자치단체 중심점
경상북도,영천시,128.942624,-24.23,기초자치단체 중심점
경상북도,상주시,128.067007,-27.732,기초자치단체 중심점
경상북도,문경시,128.148608,-27.406,기초자치단체 중심점
경상북도,경산시,128.809055,-24.764,기초자치단체 중심점
경상남도,창원시,128.615937,-25.536,하위 구 중심점 평균
경상남도,진주시,128.129801,-27.481,기초자치단체 중심점
경상남도,통영시,128.374078,-26.504,기초자치단체 중심점
경상남도,사천시,128.037696,-27.849,기초자치단체 중심점
경상남도,김해시,128.845216,-24.619,기초자치단체 중심점
경상남도,밀양시,128.789601,-24.842,기초자치단체 중심점
경상남도,거제시,128.62314,-25.507,기초자치단체 중심점
경상남도,양산시,129.041041,-23.836,기초자치단체 중심점
제주특별자치도,제주시,126.529248,-33.883,기초자치단체 중심점
제주특별자치도,서귀포시,126.581086,-33.676,기초자치단체 중심점
